Date,Category,Amount,Notes
2025-12-20,Expense,1798,Rent
2025-12-08,Income,3531,Groceries
2025-12-24,Income,2194,Bills
2025-12-18,Expense,2032,Salary
2025-12-06,Income,1259,Bills
2025-12-12,Expense,838,Groceries
2025-12-30,Expense,2435,Rent
2025-12-13,Expense,3291,Bills
2025-12-10,Income,1446,Bills
2025-12-14,Expense,4047,Bills
2025-12-12,Expense,123,Rent
2025-12-07,Expense,661,Rent
2025-12-10,Expense,1286,Salary
2025-12-20,Income,4882,Investments
2025-12-15,Expense,2998,Bills
2025-12-27,Expense,362,Investments
2025-12-30,Expense,2481,Groceries
2025-12-01,Expense,3306,Investments
2025-12-12,Income,3455,Rent
2025-12-14,Expense,2649,Investments
2025-12-12,Income,974,Salary
2025-12-15,Expense,2069,Salary
2025-12-23,Expense,348,Rent
2025-12-16,Expense,4254,Salary
2025-12-21,Expense,1956,Bills
2025-12-17,Income,1365,Bills
2025-12-30,Income,1934,Rent
2025-12-02,Income,1297,Salary
2025-12-12,Expense,226,Investments
2025-12-27,Income,1718,Salary
2025-12-10,Income,3281,Rent
2025-12-17,Income,2911,Bills
2025-12-21,Expense,103,Bills
2025-12-28,Income,1148,Investments
2025-12-08,Expense,3509,Groceries
2025-12-06,Expense,4226,Investments
2025-12-14,Expense,275,Bills
2025-12-08,Expense,1741,Groceries
2025-12-04,Income,2296,Salary
2025-12-15,Expense,3962,Investments
2025-12-20,Expense,188,Groceries
2025-12-28,Expense,3659,Bills
2025-12-01,Expense,2183,Rent
2025-12-18,Expense,2236,Investments
2025-12-26,Income,2474,Rent
2025-12-16,Expense,2907,Rent
2025-12-04,Expense,1990,Bills
2025-12-03,Income,2902,Investments
2025-12-12,Expense,4647,Rent
2025-12-10,Income,3898,Investments
